Chris Paul,Guard,60,36.34,19.82,3.55,9.05,2.53,0.07,2.07,2.3,1
Blake Griffin,Forward,66,35.24,20.73,10.86,3.18,0.82,0.73,2.27,3.27,1
Chauncey Billups,Guard,20,30.33,14.95,2.5,4,0.45,0.15,1.9,2,0
Caron Butler,Forward,63,29.69,11.95,3.65,1.24,0.83,0.13,1.22,1.95,1
Maurice Williams,Guard,52,28.3,13.17,1.9,3.08,0.98,0.13,1.65,1.98,0
DeAndre Jordan,Center,66,27.24,7.36,8.27,0.26,0.45,2.05,1.12,2.86,1
Randy Foye,Guard,65,25.88,10.95,2.12,2.25,0.71,0.37,1.12,2,1
Nick Young,Guard,22,23.56,9.73,1.64,0.45,0.64,0.27,1.09,2.32,0
Kenyon Martin,Forward,42,22.38,5.17,4.31,0.43,1.05,1.02,0.76,2.45,0
Bobby Simmons,Forward,28,14.94,2.86,1.96,0.39,0.54,0.11,0.36,1.46,0
Reggie Evans,Forward,56,13.77,1.86,4.84,0.3,0.55,0.11,0.79,2.11,0
Ryan Gomes,Forward,33,12.87,2.24,1.85,0.36,0.48,0,0.45,1.03,0
Eric Bledsoe,Guard,40,11.59,3.3,1.62,1.65,0.78,0.35,1.18,1.45,0
Courtney Fortson,Guard,4,11.48,4.25,2,1.25,0,0,1.25,0.75,0
Solomon Jones,Forward,10,9.62,0.6,1.7,0.2,0.4,0.5,0.5,1.2,0
Brian Cook,Forward,17,7.13,1.82,1.35,0.12,0.12,0.24,0.24,1.53,0
Trey Thompkins,Forward,24,4.96,2.38,1,0.12,0.12,0.12,0.25,0.42,0
Travis Leslie,Guard,10,4.53,1.4,0.9,0.5,0.2,0.2,0.2,0.4,0
