Kevin Durant,Forward,66,38.58,28.03,7.98,3.5,1.33,1.17,3.76,2.02,1
Russell Westbrook,Guard,66,35.32,23.61,4.56,5.48,1.7,0.3,3.62,2.23,1
James Harden,Guard,62,31.39,16.84,4.06,3.69,1,0.24,2.21,2.42,0
Serge Ibaka,Forward,66,28.15,9.14,7.55,0.42,0.5,3.65,1.2,2.71,1
Kendrick Perkins,Center,65,26.83,5.06,6.55,1.2,0.38,1.12,1.82,2.91,1
Thabo Sefolosha,Guard,42,21.76,4.83,3.05,1.12,0.88,0.4,0.95,1.86,1
Nick Collison,Forward,63,20.74,4.51,4.35,1.3,0.52,0.44,0.97,2.43,0
Derek Fisher,Guard,20,20.34,4.9,1.45,1.4,0.55,0.05,0.75,1.6,0
Daequan Cook,Guard,57,17.35,5.46,2.14,0.26,0.39,0.21,0.28,1.21,0
Eric Maynor,Guard,9,15.18,4.22,1.44,2.44,0.56,0,1.22,1.44,0
Reggie Jackson,Guard,45,11.13,3.11,1.18,1.58,0.56,0.02,0.8,0.69,0
Nazr Mohammed,Center,63,10.99,2.71,2.7,0.22,0.32,0.59,0.41,1.6,0
Royal Ivey,Guard,34,10.41,2.09,0.71,0.29,0.41,0,0.26,1.06,0
Cole Aldrich,Center,26,6.66,2.19,1.85,0.12,0.31,0.62,0.35,0.85,0
Lazar Hayward,Forward,26,5.42,1.42,0.62,0.15,0.12,0.04,0.35,0.69,0
Ryan Reid,Forward,5,3.33,1.6,0.4,0,0,0,0.2,0.2,0
