Kobe Bryant,Guard,58,38.49,27.86,5.4,4.55,1.19,0.31,3.52,1.81,1
Pau Gasol,Forward,65,37.38,17.37,10.43,3.66,0.57,1.35,2.18,1.95,1
Andrew Bynum,Center,60,35.19,18.72,11.82,1.42,0.45,1.93,2.53,1.73,1
Ramon Sessions,Guard,23,30.47,12.65,3.78,6.17,0.74,0.09,2.57,1.61,0
Ron Artest,Forward,64,26.88,7.7,3.41,2.19,1.08,0.42,1.08,2.14,1
Derek Fisher,Guard,43,25.6,5.86,2.14,3.3,0.93,0.07,1.35,1.98,0
Steve Blake,Guard,53,23.34,5.21,1.6,3.28,0.74,0.04,1.36,1.42,0
Matt Barnes,Forward,63,22.86,7.79,5.46,2,0.56,0.76,1.16,2.41,0
Christian Eyenga,Guard,1,19.23,8,2,1,0,1,1,0,0
Devin Ebanks,Forward,24,16.49,4.04,2.25,0.5,0.46,0.25,0.75,1.08,1
Troy Murphy,Forward,59,16.2,3.19,3.24,0.86,0.25,0.27,0.44,1.66,0
Josh McRoberts,Forward,50,14.36,2.76,3.42,1.02,0.3,0.36,0.62,1.48,0
Jordan Hill,Center,7,11.72,4.71,4.43,0.29,0.71,0.86,1,1.57,0
Andrew Goudelock,Guard,40,10.46,4.38,0.78,0.5,0.1,0,0.53,0.8,0
Jason Kapono,Forward,26,10.35,2.08,0.54,0.42,0.12,0,0.23,0.81,0
Darius Morris,Guard,19,8.92,2.42,0.84,1.11,0.11,0,1,0.84,0
Luke Walton,Forward,9,7.18,1.33,1.56,0.56,0.22,0,0.22,1,0
