Dwight Howard,Center,54,38.33,20.61,14.54,1.93,1.5,2.15,3.24,2.94,0
Ryan Anderson,Forward,61,32.19,16.07,7.72,0.89,0.82,0.43,0.93,2.39,1
Hedo Turkoglu,Forward,53,31.19,10.87,3.75,4.4,0.85,0.32,2.68,2.62,0
Jameer Nelson,Guard,57,29.93,11.86,3.18,5.7,0.67,0.09,2.37,2.28,1
Jason Richardson,Guard,54,29.0,11.65,3.59,1.98,0.98,0.41,1.11,1.69,1
J.J. Redick,Guard,65,27.15,11.55,2.31,2.52,0.42,0.09,1.05,1.42,1
Glen Davis,Forward,61,23.39,9.28,5.43,0.77,0.7,0.31,1.23,1.74,1
Chris Duhon,Guard,63,19.46,3.76,1.62,2.4,0.56,0.14,1.29,1.13,0
Quentin Richardson,Forward,48,18.04,4.48,2.56,0.79,0.58,0.12,0.6,1.54,0
Von Wafer,Guard,33,14.21,5.88,1.36,0.88,0.3,0.09,1.06,0.79,0
Larry Hughes,Guard,9,12.62,1.33,0.56,0.78,0.22,0,1.33,1.11,0
Earl Clark,Forward,45,12.43,2.73,2.76,0.4,0.27,0.71,0.56,1.6,0
daniel Orton,Center,16,11.66,2.81,2.44,0.31,0.5,0.56,0.44,1.88,0
Ishmael Smith,Guard,20,8.55,2.25,1.3,1.6,0.55,0.1,0.6,0.55,0
DeAndre Liggins,Guard,17,6.77,1.94,0.88,0.29,0.35,0,0.59,0.35,0
Justin Harper,Forward,14,5.97,1.43,0.86,0.14,0.14,0.21,0.43,0.36,0
