Dirk Nowitzki,Forward,62,33.53,21.65,6.76,2.19,0.68,0.48,1.89,2.08,1
Jason Terry,Guard,63,31.75,15.08,2.37,3.59,1.16,0.17,2.02,1.1,0
Shawn Marion,Forward,63,30.46,10.63,7.38,2.1,1.06,0.57,1.56,1.38,1
Jason Kidd,Guard,48,28.73,6.23,4.12,5.5,1.71,0.21,1.9,1.73,1
Vince Carter,Forward,61,25.28,10.07,3.36,2.28,0.92,0.41,1.38,2.2,0
Delonte West,Guard,44,24.1,9.57,2.3,3.16,1.32,0.25,1.73,1.52,1
Rodrique Beaubois,Guard,53,21.71,8.91,2.85,2.87,1.06,0.53,1.32,1.85,0
Brendan Hw.,Center,54,21.22,5.2,6,0.35,0.44,1,0.85,2.24,1
Lamar Odom,Forward,50,20.54,6.64,4.16,1.66,0.4,0.36,1.04,1.94,0
Ian Mahinmi,Center,61,18.68,5.8,4.74,0.2,0.62,0.51,0.82,2.89,0
Brandan Wright,Forward,49,16.15,6.94,3.55,0.27,0.45,1.29,0.43,1.24,0
Dominique Jones,Guard,33,8.13,2.67,1.33,1.27,0.3,0.15,0.85,0.85,0
Sean Williams,Center,8,8.12,3.62,1.62,0.25,0.12,0.62,0.88,1.75,0
Yi Jianlian,Forward,30,6.77,2.63,1.63,0.17,0.23,0.27,0.47,0.77,0
Brian Cardinal,Forward,44,6.29,0.98,0.77,0.36,0.18,0.05,0.18,0.86,0
Kelenna Azubuike,Guard,3,5.97,2.33,0,0,0.33,0,1.33,0.33,0
