Ty Lawson,Guard,61,34.82,16.38,3.72,6.57,1.34,0.1,2.44,1.54,1
Arron Afflalo,Guard,62,32.65,15.21,3.18,2.4,0.58,0.21,1.37,2.16,1
Danilo Gallinari,Forward,43,31.42,14.6,4.7,2.7,0.98,0.53,1.58,2,1
Nene,Center,28,29.51,13.43,7.43,2.18,1.29,0.89,2.75,2.46,0
Al Harrington,Forward,64,27.52,14.22,6.09,1.38,0.91,0.19,1.75,2.83,0
Andre Miller,Guard,66,27.41,9.68,3.35,6.68,0.95,0.14,2.68,2.02,0
Wilson Chandler,Forward,8,26.82,9.38,5.12,2.12,0.75,0.75,2.25,2.25,0
Rudy Fernandez,Guard,31,22.89,8.65,2.1,2.42,1,0.1,1.29,1.19,0
Kenneth Faried,Forward,46,22.55,10.24,7.65,0.78,0.74,1.02,1.17,2.52,1
Corey Brewer,Forward,59,21.82,8.9,2.54,1.49,1.22,0.29,0.95,1.92,0
JaVale McGee,Center,20,20.52,10.25,5.75,0.3,0.5,1.55,0.95,2.4,1
Kosta Koufos,Center,48,16.49,5.48,5.38,0.31,0.5,0.85,0.69,2,0
Timofey Mozgov,Center,44,15.62,5.43,4.07,0.5,0.34,0.95,1.2,1.95,0
Chris Andersen,Forward,32,15.2,5.25,4.62,0.19,0.59,1.44,0.53,1.62,0
Jordan Hamilton,Guard,26,9.93,4.42,2.38,0.77,0.15,0.12,0.62,0.58,0
Julyan Stone,Guard,22,8.16,1.64,1.14,1.68,0.36,0.27,0.5,0.82,0
DeMarre Carroll,Forward,4,5.14,3,0.75,0.75,0,0,0.5,0.25,0
