Danny Granger,Forward,62,33.26,18.69,4.95,1.76,1,0.65,1.77,2.32,1
Darren Collison,Guard,60,31.3,10.35,3.12,4.78,0.82,0.23,1.9,1.68,0
Roy Hibbert,Center,65,30.8,12.83,8.8,1.66,0.49,1.97,1.97,3,1
Paul George,Guard,66,29.66,12.09,5.61,2.39,1.64,0.58,1.77,2.89,1
David West,Forward,66,27.16,12.76,6.56,2.12,0.79,0.7,1.41,2.42,1
George Hill,Guard,50,25.48,9.62,3.02,2.9,0.84,0.34,1.04,1.96,1
Tyler Hansbrough,Forward,66,21.84,9.3,4.39,0.45,0.82,0.14,0.98,2.41,0
Leandro Barbosa,Guard,22,19.82,8.91,2.23,1.5,0.91,0,1.18,1.55,0
Dahntay Jones,Guard,65,16.18,5.32,1.8,0.97,0.35,0.17,0.71,1.83,0
A.J. Price,Guard,44,12.91,3.91,1.39,1.95,0.45,0.05,0.73,0.68,0
Jeff Foster,Forward,11,12.82,2.27,3.82,0.36,0.73,0.09,0.64,2.36,0
Louis Amundson,Forward,60,12.54,3.55,3.7,0.23,0.45,0.73,0.77,2.08,0
Lance Stephenson,Guard,42,10.52,2.52,1.26,1.1,0.5,0.12,0.86,0.71,0
Kyrylo Fesenko,Center,3,5.66,2.67,3,0.33,0.67,0,0,0.67,0
Jeff Pendergraph,Forward,20,5.32,1.7,1.65,0.2,0.15,0.1,0.1,0.8,0
