Andre Iguodala,Guard,62,35.63,12.44,6.15,5.47,1.73,0.48,1.85,1.48,1
Jrue Holiday,Guard,65,33.79,13.52,3.26,4.46,1.58,0.28,2.08,2.11,1
Elton Brand,Forward,60,28.87,10.98,7.15,1.62,0.97,1.62,1.08,2.93,1
Thaddeus Young,Forward,63,27.86,12.83,5.16,1.17,1.02,0.65,0.87,2.02,0
Evan Turner,Guard,65,26.35,9.38,5.78,2.77,0.62,0.31,1.62,1.8,1
Louis Williams,Guard,64,26.28,14.94,2.42,3.45,0.83,0.28,1.11,1.41,0
Jodie Meeks,Guard,66,24.9,8.42,2.44,0.82,0.61,0.05,0.44,1.24,0
Spencer Hawes,Center,37,24.87,9.59,7.3,2.65,0.43,1.3,1.49,2.7,1
Xavier Silas,Guard,2,19.35,5.5,2,1.5,0,0,1.5,2.5,0
Nikola Vucevic,Forward,51,15.91,5.55,4.82,0.61,0.39,0.67,0.65,2.18,0
Lavoy Allen,Forward,41,15.22,4.12,4.17,0.83,0.32,0.44,0.49,1.78,0
Tony Battie,Center,27,10.92,1.56,2.48,0.59,0.15,0.22,0.15,0.96,0
Sam Young,Forward,14,9.64,2.86,1.5,0.43,0.43,0.29,0.5,0.79,0
Craig Brackins,Forward,14,6.29,1.57,1.07,0.57,0,0.07,0.29,0.43,0
Andres Nocioni,Forward,11,5.06,1.55,1.27,0.09,0.09,0.09,0.45,0.36,0
Francisco Elson,Center,5,3.29,0.4,0.2,0.2,0.2,0.2,0.2,0,0
